NAME,B25064_001E,B25070_010E,state,county,year
"Stanislaus County, California",1099,19132,06,099,2018
"Santa Barbara County, California",1576,19467,06,083,2018
"Mono County, California",1125,164,06,051,2018
"San Benito County, California",1477,1289,06,069,2018
"Sacramento County, California",1184,63634,06,067,2018
"El Dorado County, California",1200,3674,06,017,2018
"Monterey County, California",1401,14834,06,053,2018
"San Francisco County, California",1805,40916,06,075,2018
"San Diego County, California",1569,144189,06,073,2018
"Tulare County, California",904,15107,06,107,2018
"Humboldt County, California",947,7140,06,023,2018
"Alpine County, California",540,4,06,003,2018
"Madera County, California",986,3761,06,039,2018
"Santa Cruz County, California",1647,12210,06,087,2018
"Trinity County, California",815,463,06,105,2018
"Riverside County, California",1311,71358,06,065,2018
"San Bernardino County, California",1230,73173,06,071,2018
"Marin County, California",1970,9943,06,041,2018
"Placer County, California",1463,9550,06,061,2018
"Shasta County, California",1000,7509,06,089,2018
"Solano County, California",1498,15133,06,095,2018
"Colusa County, California",877,527,06,011,2018
"Tehama County, California",839,2198,06,103,2018
"Yuba County, California",951,2504,06,115,2018
"Lassen County, California",945,716,06,035,2018
"Sonoma County, California",1549,19621,06,097,2018
"Imperial County, California",818,4904,06,025,2018
"Alameda County, California",1674,62990,06,001,2018
"Napa County, California",1621,4246,06,055,2018
"Sierra County, California",888,64,06,091,2018
"Yolo County, California",1266,10890,06,113,2018
"Nevada County, California",1222,2966,06,057,2018
"Mendocino County, California",1100,4000,06,045,2018
"Los Angeles County, California",1390,528626,06,037,2018
"Santa Clara County, California",2126,59812,06,085,2018
"Siskiyou County, California",836,1645,06,093,2018
"Del Norte County, California",862,912,06,015,2018
"Glenn County, California",788,1031,06,021,2018
"Butte County, California",1016,11183,06,007,2018
"Kings County, California",971,4321,06,031,2018
"Plumas County, California",868,510,06,063,2018
"San Luis Obispo County, California",1385,10865,06,079,2018
"Fresno County, California",967,42103,06,019,2018
"Kern County, California",956,29065,06,029,2018
"Orange County, California",1777,121332,06,059,2018
"Ventura County, California",1705,26642,06,111,2018
"Calaveras County, California",1286,1159,06,009,2018
"Sutter County, California",986,2566,06,101,2018
"San Mateo County, California",2158,25314,06,081,2018
"Tuolumne County, California",970,1534,06,109,2018
"San Joaquin County, California",1159,26182,06,077,2018
"Amador County, California",1056,814,06,005,2018
"Merced County, California",1021,8589,06,047,2019
"Mariposa County, California",929,702,06,043,2019
"Modoc County, California",717,197,06,049,2019
"Contra Costa County, California",1819,33415,06,013,2019
"Inyo County, California",919,383,06,027,2019
"Stanislaus County, California",1155,18537,06,099,2019
"Santa Barbara County, California",1643,19195,06,083,2019
"Tehama County, California",872,2277,06,103,2019
"Mono County, California",1206,180,06,051,2019
"San Benito County, California",1535,1244,06,069,2019
"Sacramento County, California",1252,63173,06,067,2019
"El Dorado County, California",1260,4319,06,017,2019
"Monterey County, California",1495,15003,06,053,2019
"San Francisco County, California",1895,38741,06,075,2019
"San Diego County, California",1658,144790,06,073,2019
"Tulare County, California",942,15548,06,107,2019
"Humboldt County, California",981,7508,06,023,2019
"Alpine County, California",538,7,06,003,2019
"Madera County, California",1014,3492,06,039,2019
"Santa Cruz County, California",1717,11748,06,087,2019
"Trinity County, California",799,418,06,105,2019
"Riverside County, California",1375,69883,06,065,2019
"San Bernardino County, California",1283,70895,06,071,2019
"Marin County, California",2069,9374,06,041,2019
"Placer County, California",1542,9468,06,061,2019
"Shasta County, California",1039,7040,06,089,2019
"Solano County, California",1592,14592,06,095,2019
"Colusa County, California",889,480,06,011,2019
"Glenn County, California",835,995,06,021,2019
"Butte County, California",1060,10458,06,007,2019
"Kings County, California",990,4022,06,031,2019
"Plumas County, California",916,568,06,063,2019
"San Luis Obispo County, California",1476,10652,06,079,2019
"Fresno County, California",998,40855,06,019,2019
"Kern County, California",978,28816,06,029,2019
"Orange County, California",1854,120166,06,059,2019
"Ventura County, California",1776,26580,06,111,2019
"Calaveras County, California",1339,1010,06,009,2019
"Sutter County, California",1033,2578,06,101,2019
"San Mateo County, California",2316,25263,06,081,2019
"Tuolumne County, California",1009,1510,06,109,2019
"San Joaquin County, California",1208,25407,06,077,2019
"Amador County, California",1103,816,06,005,2019
"Lake County, California",978,1949,06,033,2019
"Yuba County, California",1002,2371,06,115,2019
"Lassen County, California",956,639,06,035,2019
"Sonoma County, California",1621,18145,06,097,2019
"Imperial County, California",830,4804,06,025,2019
"Alameda County, California",1797,63047,06,001,2019
"Napa County, California",1700,4046,06,055,2019
"Sierra County, California",972,101,06,091,2019
"Yolo County, California",1324,10609,06,113,2019
"Nevada County, California",1273,3109,06,057,2019
"Mendocino County, California",1146,3696,06,045,2019
"Los Angeles County, California",1460,521881,06,037,2019
"Santa Clara County, California",2268,60222,06,085,2019
"Siskiyou County, California",856,1558,06,093,2019
"Del Norte County, California",878,858,06,015,2019
"Alameda County, California",1904,61644,06,001,2020
"Alpine County, California",639,7,06,003,2020
"Butte County, California",1087,9763,06,007,2020
"Colusa County, California",918,386,06,011,2020
"Contra Costa County, California",1928,32430,06,013,2020
"El Dorado County, California",1320,4337,06,017,2020
"Fresno County, California",1029,38851,06,019,2020
"Humboldt County, California",1002,7517,06,023,2020
"Imperial County, California",847,5061,06,025,2020
"Kern County, California",994,28056,06,029,2020
"Kings County, California",1030,3866,06,031,2020
"Lassen County, California",928,559,06,035,2020
"Madera County, California",1068,3308,06,039,2020
"Marin County, California",2170,9179,06,041,2020
"Mariposa County, California",1010,644,06,043,2020
"Mendocino County, California",1134,3455,06,045,2020
"Merced County, California",1054,7885,06,047,2020
"Modoc County, California",757,165,06,049,2020
"Monterey County, California",1600,14910,06,053,2020
"Napa County, California",1775,3991,06,055,2020
"Nevada County, California",1315,3056,06,057,2020
"Orange County, California",1928,120854,06,059,2020
"Placer County, California",1616,9054,06,061,2020
"Plumas County, California",944,523,06,063,2020
"Riverside County, California",1447,66750,06,065,2020
"Sacramento County, California",1333,59990,06,067,2020
"San Benito County, California",1533,1276,06,069,2020
"San Bernardino County, California",1338,70011,06,071,2020
"San Diego County, California",1732,144425,06,073,2020
"San Francisco County, California",2010,38203,06,075,2020
"San Joaquin County, California",1286,23787,06,077,2020
"San Luis Obispo County, California",1535,10209,06,079,2020
"San Mateo County, California",2435,25442,06,081,2020
"Santa Clara County, California",2386,56827,06,085,2020
"Santa Cruz County, California",1843,11043,06,087,2020
"Sierra County, California",1032,64,06,091,2020
"Solano County, California",1684,14059,06,095,2020
"Sonoma County, California",1743,18077,06,097,2020
"Sutter County, California",1095,2444,06,101,2020
"Tehama County, California",972,2287,06,103,2020
"Tulare County, California",974,14522,06,107,2020
"Tuolumne County, California",1025,1593,06,109,2020
"Yolo County, California",1369,10209,06,113,2020
"Yuba County, California",1015,2142,06,115,2020
"Mono County, California",1248,140,06,051,2020
"Amador County, California",1057,674,06,005,2020
"Calaveras County, California",1354,1007,06,009,2020
"Del Norte County, California",946,901,06,015,2020
"Glenn County, California",810,1030,06,021,2020
"Inyo County, California",938,393,06,027,2020
"Lake County, California",1028,2011,06,033,2020
"Los Angeles County, California",1534,517399,06,037,2020
"Santa Barbara County, California",1697,18344,06,083,2020
"Shasta County, California",1075,6637,06,089,2020
"Siskiyou County, California",878,1606,06,093,2020
"Stanislaus County, California",1210,18228,06,099,2020
"Trinity County, California",813,466,06,105,2020
"Ventura County, California",1854,26631,06,111,2020
"Alameda County, California",2043,62474,06,001,2021
"Alpine County, California",-666666666,6,06,003,2021
"Amador County, California",1126,493,06,005,2021
"Butte County, California",1172,9826,06,007,2021
"Calaveras County, California",1430,911,06,009,2021
"Colusa County, California",974,466,06,011,2021
"Contra Costa County, California",2061,33251,06,013,2021
"Del Norte County, California",999,926,06,015,2021
"El Dorado County, California",1409,4468,06,017,2021
"Fresno County, California",1098,37700,06,019,2021
"Glenn County, California",954,963,06,021,2021
"Humboldt County, California",1079,7440,06,023,2021
"Imperial County, California",892,4923,06,025,2021
"Inyo County, California",988,383,06,027,2021
"Kern County, California",1063,27787,06,029,2021
"Kings County, California",1098,3728,06,031,2021
"Lake County, California",1116,1901,06,033,2021
"Lassen County, California",969,502,06,035,2021
"Los Angeles County, California",1653,519145,06,037,2021
"Madera County, California",1120,3397,06,039,2021
"Marin County, California",2307,9187,06,041,2021
"Mariposa County, California",1058,576,06,043,2021
"Mendocino County, California",1176,3182,06,045,2021
"Merced County, California",1125,8277,06,047,2021
"Modoc County, California",748,178,06,049,2021
"Mono County, California",1228,77,06,051,2021
"Monterey County, California",1718,15706,06,053,2021
"Napa County, California",1880,4135,06,055,2021
"Nevada County, California",1380,3194,06,057,2021
"Orange County, California",2057,124554,06,059,2021
"Placer County, California",1734,9307,06,061,2021
"Plumas County, California",1031,491,06,063,2021
"Riverside County, California",1552,66148,06,065,2021
"Sacramento County, California",1434,60775,06,067,2021
"San Benito County, California",1703,1310,06,069,2021
"San Bernardino County, California",1427,71083,06,071,2021
"San Diego County, California",1842,145976,06,073,2021
"San Francisco County, California",2130,38224,06,075,2021
"San Joaquin County, California",1387,22683,06,077,2021
"San Luis Obispo County, California",1654,10899,06,079,2021
